FirstIverson reversed values 0-5;200;500;800;1100;1400;1700;557367;1246683;1727288;2207893;2688498;3169103;3663482;4839045;5928405;6886816;7845227;8803638;9762049;10763381;12551588;14040886;15476543;16912200;18347857;19783514;21302242;23671021;25583518;27496015;29408512;31321009;33233506;35283098;38149979;40543824;42937669;45331514;47725359;50119204;52513049
FirstIverson values 0-4000;24160;98685;222771;396283;620792;895276;1220016;1594960;2018027;2491414;3016026;3592525;4217535;4892773;5616348;6393772;7215930;8093247;9015817;9992354;11012468;12085672;13207967;14384500;15608396;16880639;18203030;19580733;21006360;22476132;23998743;25570358;27185827;28865233;30593964;32361751;34174349;36048653;37976699;39943704;41971718
FirstIverson sorted values 0-4000;200;500;800;1100;1400;1700;2000;2300;2600;2900;3200;3500;3800;4100;4400;4700;5000;5300;5600;5900;6200;6500;6800;7100;7400;7700;8000;8300;8600;8900;9200;9500;9800;10100;10400;10700;11000;11300;11600;11900;12200
FirstIverson almost sorted values 0-4000;9285;46303;120365;241577;388730;599316;834271;1105846;1410484;1754480;2139867;2547102;2988688;3465874;3986974;4530573;5115842;5734445;6380185;7063674;7794408;8543816;9320519;10130814;10986996;11873021;12791008;13743460;14732935;15740139;16782594;17874270;18995241;20132026;21307970;22492922;23749920;25010506;26303382;27650071;29017055
FirstIverson reversed values 0-4000;34000;138048;312103;556143;870188;1254231;1708283;2232325;2826370;3490409;4224457;5028501;5902554;6846602;7860650;8944692;10098740;11322781;12616833;13980879;15414927;16918968;18493017;20137057;21851105;23635151;25489195;27413235;29407290;31471338;33605378;35809424;38083472;40427510;42841556;45325605;47879650;50503686;53197731;55961771;58795819
HeapSort values 0-5;7500;17503;28353;39990;51607;64221;77109;90095;102834;115810;129371;143509;157555;171679;185981;200091;214000;227885;242036;256230;270634;285792;301050;316675;332151;347295;362600;377911;393350;409012;424257;439395;454644;469907;484904;500062;515281;530666;545972;561580;577080
HeapSort sorted values 0-5;1600;3200;4900;6500;8200;9800;13893;26661;39609;52494;66292;80541;94923;108577;123705;139102;154734;170896;186999;202739;218873;235201;251566;268644;286701;304120;320503;337450;354503;371002;387955;404533;421563;439793;456747;473094;489144;504897;521085;537562;554632
HeapSort almost sorted values 0-5;2642;5901;9184;12658;16234;19811;25556;38378;51556;64724;78316;92326;106800;121086;135440;150213;166170;182360;198528;214326;230127;246698;263170;280103;297609;315176;331252;347100;363238;379899;396645;413550;430756;449034;465926;482521;498850;515377;531886;549112;566276
HeapSort reversed values 0-5;1600;3200;4900;6500;8200;9800;16690;41112;60257;74754;84764;91700;93700;105672;132109;153727;169725;180817;188223;192490;210687;236351;257146;273201;286618;295676;299180;319973;346515;366558;378891;386199;392617;398480;429386;459249;485143;505325;525589;534903;538686
HeapSort values 0-4000;8820;20836;33971;47952;62272;77335;92752;108346;124193;140210;156578;173319;190231;207195;224466;241648;258905;276378;293843;311497;329348;347420;365716;383989;402368;420863;439326;457939;476723;495382;514314;533041;551874;570790;589802;608898;627863;646994;666146;685290;704701
HeapSort sorted values 0-4000;9657;22658;36749;51786;66992;83179;99687;116392;133135;150053;167653;185613;203802;221963;240301;258555;276780;295283;313665;332298;351291;370729;390364;409943;429737;449546;469226;489136;508988;529092;549137;568857;588638;608538;628542;648781;668684;688831;709028;729368;749905
HeapSort almost sorted values 0-4000;8764;20746;33828;47795;62042;77027;92398;107978;123633;139391;155705;172380;189201;206092;223083;240045;256857;274049;291050;308201;325734;343650;361531;379496;397585;415589;433564;451595;469820;488027;506070;523928;541793;559754;577589;595974;614011;632647;653325;687483;740903
HeapSort reversed values 0-4000;7621;18504;30354;43240;56403;70214;84354;98736;113406;128043;143447;158830;174290;189919;206684;221999;238290;254130;271589;286545;304768;321023;339753;354932;373690;389051;408773;424088;442837;459428;479684;494844;514129;530487;551015;566635;585201;602762;623794;638680;658177
InsertionSort values 0-5;4599;17687;39178;68433;106263;152293;206457;268837;339751;419376;507204;603268;708686;820281;941999;1072276;1210671;1356768;1511021;1672998;1846324;2026736;2212846;2407477;2611593;2824983;3046529;3277310;3518071;3761851;4017888;4281468;4551151;4830001;5119316;5413587;5720795;6036338;6358137;6686660;7021285
InsertionSort sorted values 0-5;600;1300;2000;2700;3400;4100;4800;5500;6200;6900;7600;8300;9000;9700;10400;11100;11800;12500;13200;13900;14600;15300;16000;16700;17400;18100;18800;19500;20200;20900;21600;22300;23000;23700;24400;25100;25800;26500;27200;27900;28600
InsertionSort almost sorted values 0-5;1923;6655;14255;24481;37467;53258;70997;88973;109699;133077;159402;188299;219619;251935;282538;316011;351262;389936;432217;476181;518809;558351;600257;645133;692816;743590;796700;844899;890706;938200;989281;1041269;1098016;1156460;1204378;1250923;1300954;1354352;1411780;1471591;1532389
InsertionSort reversed values 0-5;600;1300;2000;2700;3400;4100;26791;159362;297292;435222;573152;711082;849144;1030647;1301685;1576131;1850577;2125023;2399469;2674937;3015411;3424710;3835512;4246314;4657116;5067918;5481286;5981075;6528117;7075159;7622201;8169243;8716285;9266428;9919665;10604235;11288805;11973375;12657945;13342515;14027085
InsertionSort values 0-4000;5446;21109;46630;81784;127433;183095;248853;324670;409914;504956;610527;727248;852965;988881;1134587;1291023;1455892;1633167;1818060;2014546;2218170;2432549;2657349;2894932;3139620;3394711;3659404;3936199;4222014;4516451;4820231;5134033;5455917;5793484;6141046;6493842;6855145;7229992;7616633;8008395;8415883
InsertionSort sorted values 0-4000;600;1300;2000;2700;3400;4100;4800;5500;6200;6900;7600;8300;9000;9700;10400;11100;11800;12500;13200;13900;14600;15300;16000;16700;17400;18100;18800;19500;20200;20900;21600;22300;23000;23700;24400;25100;25800;26500;27200;27900;28600
InsertionSort almost sorted values 0-4000;2282;7939;16766;28599;43438;61496;82183;105606;131796;160615;192131;225929;262472;301063;342126;384992;429554;477073;526612;577310;630848;685495;740383;796770;858495;919166;980855;1044727;1110350;1176493;1243935;1312921;1381452;1451201;1523553;1593908;1667038;1738240;1810913;1887283;1963898
InsertionSort reversed values 0-4000;10223;40531;90827;161131;251427;361725;492022;642322;812623;1002914;1213216;1443509;1693812;1964111;2254414;2564714;2895009;3245306;3615605;4005901;4416202;4846496;5296803;5767102;6257398;6767682;7297988;7848280;8418585;9008886;9619180;10249473;10899769;11570068;12260367;12970662;13700960;14451253;15221554;16011846;16822147
MergeSort values 0-5;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort sorted values 0-5;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort almost sorted values 0-5;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort reversed values 0-5;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort values 0-4000;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort sorted values 0-4000;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort almost sorted values 0-4000;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
MergeSort reversed values 0-4000;8100;18300;29200;40700;52200;64600;77100;89600;102100;114600;127800;141300;154800;168300;181800;195300;208800;222300;235800;249300;263300;277800;292300;306800;321300;335800;350300;364800;379300;393800;408300;422800;437300;451800;466300;480800;495300;509800;524300;538800;553400
QuickSort values 0-5;3893;12070;24240;40400;61645;85507;115408;148295;184124;224697;273465;319329;372507;430516;491791;562292;628303;707479;779194;852985;945530;1038067;1119830;1235771;1335606;1426221;1555446;1643824;1781302;1917254;2044772;2190148;2307068;2467388;2579619;2707115;2911949;3047555;3227120;3360299;3546718
QuickSort sorted values 0-5;15400;60800;136300;241700;377200;542600;696519;723665;775113;856575;968023;1109485;1280933;1415305;1445505;1500861;1586231;1701587;1846957;2020485;2125953;2159048;2220257;2311454;2432663;2583860;2760957;2838200;2875364;2942234;3039102;3165972;3322840;3503302;3552387;3594679;3666977;3769269;3901567;4063859;4256157
QuickSort almost sorted values 0-5;6040;17103;29592;45321;59788;77116;100693;117061;136158;158714;178180;202967;228755;283361;328887;345045;373459;396750;419826;449486;501134;520872;556707;578054;604920;634773;688182;743956;784203;856685;926441;1001188;1054024;1168717;1396844;1701410;2086085;2388909;2679068;2907527;3073233
QuickSort reversed values 0-5;15400;60800;136300;241700;377200;542600;727124;886740;1073671;1290610;1537541;1814480;2121411;2458350;2825281;3222220;3649151;4106090;4593021;5107289;5623891;6135281;6673953;7242635;7841307;8469989;9128661;9817343;10536015;11284697;12063369;12872051;13710469;14568037;15421529;16283596;17174092;18094594;19045090;20025592;21036088
QuickSort values 0-4000;2591;6157;10114;14193;18563;23142;27584;32377;36921;41844;46561;51761;56738;62042;66749;72070;77116;82355;87734;93651;98304;103935;109146;114830;120521;126297;131380;136642;142474;148032;153747;159955;165604;171322;177375;182305;187795;194614;200031;205513;211884
QuickSort sorted values 0-4000;6859;26265;58103;102328;159139;228416;310237;404594;511436;630757;762527;906735;1063594;1232979;1414854;1609180;1815993;2035320;2267162;2511621;2768577;3038018;3320049;3614555;3921481;4240896;4572903;4917456;5274652;5644401;6026645;6421357;6828598;7248384;7680699;8125580;8583022;9052864;9535275;10030300;10537968
QuickSort almost sorted values 0-4000;3383;7812;12674;17904;23281;28875;34929;40763;46844;53170;59743;66315;72998;80161;86847;94244;100605;108611;116119;123619;130712;137735;146124;153647;162968;170518;182004;188977;200299;209204;216885;229667;241715;257430;271446;286744;303857;324027;350270;403454;391391
QuickSort reversed values 0-4000;13000;51000;114100;202100;315200;453200;616300;804300;1017400;1255400;1518500;1806500;2119600;2457600;2820700;3208700;3621800;4059800;4522900;5010900;5524000;6062000;6625100;7213100;7826200;8464200;9127300;9815300;10528400;11266400;12029500;12817500;13630600;14468600;15331700;16219700;17132800;18070800;19033900;20021900;21035000
RadixSort values 0-5;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort sorted values 0-5;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort almost sorted values 0-5;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort reversed values 0-5;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort values 0-4000;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort sorted values 0-4000;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort almost sorted values 0-4000;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
RadixSort reversed values 0-4000;12500;24500;36500;48500;60500;72500;84500;96500;108500;120500;132500;144500;156500;168500;180500;192500;204500;216500;228500;240500;252500;264500;276500;288500;300500;312500;324500;336500;348500;360500;372500;384500;396500;408500;420500;432500;444500;456500;468500;480500;492500
SecondIverson values 0-5;21781;89575;203404;362073;566569;816836;1113101;1454307;1842611;2276821;2757828;3283632;3855740;4469493;5135441;5846463;6602355;7405381;8250019;9140500;10081993;11068994;12094393;13168572;14291902;15458326;16675019;17936058;19250468;20590975;21991063;23438047;24920282;26453551;28036615;29658310;31337357;33060182;34823053;36629870;38476662
SecondIverson sorted values 0-5;300;600;900;1200;1500;1800;2100;2400;2700;3000;3300;3600;3900;4200;4500;4800;5100;5400;5700;6000;6300;6600;6900;7200;7500;7800;8100;8400;8700;9000;9300;9600;9900;10200;10500;10800;11100;11400;11700;12000;12300
SecondIverson almost sorted values 0-5;6783;27825;62344;110710;173703;249278;344818;553033;823066;1142042;1501458;1893739;2291081;2780114;3240610;3786527;4299660;4914614;5558946;6198685;6915922;7583973;8381294;9153917;9942948;10820036;11714258;12630566;13549694;14537079;15559828;16566772;17645357;18778255;19889655;20994109;22197192;23423037;24713041;25995280;27314089
SecondIverson reversed values 0-5;300;600;900;1200;1500;1800;558342;1248052;1728657;2209262;2689867;3170472;3664878;4841518;5931152;6889563;7847974;8806385;9764796;10766207;12555580;14044990;15480647;16916304;18351961;19787618;21306492;23676493;25588990;27501487;29413984;31326481;33238978;35288817;38156821;40550666;42944511;45338356;47732201;50126046;52519891
SecondIverson values 0-4000;23964;98309;221713;394910;619055;893212;1217377;1592075;2014318;2486710;3010661;3587157;4209989;4885747;5608210;6386328;7207338;8083694;9005296;9980368;11001981;12072814;13195059;14370278;15594309;16866806;18188041;19564372;20990135;22456219;23979920;25552976;27160625;28844046;30572308;32337348;34147185;36025952;37951542;39914237;41948032
SecondIverson sorted values 0-4000;300;600;900;1200;1500;1800;2100;2400;2700;3000;3300;3600;3900;4200;4500;4800;5100;5400;5700;6000;6300;6600;6900;7200;7500;7800;8100;8400;8700;9000;9300;9600;9900;10200;10500;10800;11100;11400;11700;12000;12300
SecondIverson almost sorted values 0-4000;9000;42388;106227;212535;348059;553906;781519;1040110;1339607;1680580;2054552;2442946;2895431;3363316;3888320;4412401;4995398;5638860;6256940;6914453;7681968;8401976;9167794;9985743;10857181;11724208;12648777;13594884;14593085;15587375;16623227;17711956;18842495;19957925;21143747;22311329;23598106;24823105;26112684;27474705;28817672
SecondIverson reversed values 0-4000;34196;138446;312696;556941;871180;1255425;1709676;2233921;2828168;3492406;4226653;5030898;5905149;6849400;7863645;8947892;10102132;11326378;12620626;13984876;15419121;16923367;18497610;20141854;21856100;23640349;25494588;27418834;29413082;31477336;33611575;35815823;38090063;40434305;42848552;45332803;47887048;50511285;53205525;55969770;58804014
SelectionSort values 0-5;15292;60609;135967;241308;376654;541996;737338;962679;1218029;1503375;1818717;2164061;2539410;2944753;3380100;3845441;4340786;4866125;5421473;6006816;6622164;7267509;7942853;8648198;9383541;10148884;10944236;11769571;12624919;13510264;14425609;15370955;16346298;17351637;18386986;19452328;20547681;21673023;22828369;24013714;25229057
SelectionSort sorted values 0-5;14900;59800;134800;239700;374700;539600;734600;959500;1214500;1499400;1814400;2159300;2534300;2939200;3374200;3839100;4334100;4859000;5414000;5998900;6613900;7258800;7933800;8638700;9373700;10138600;10933600;11758500;12613500;13498400;14413400;15358300;16333300;17338200;18373200;19438100;20533100;21658000;22813000;23997900;25212900
SelectionSort almost sorted values 0-5;15315;60772;136227;241687;377136;542596;738050;963481;1218922;1504363;1819795;2165235;2540668;2946105;3381523;3846946;4342361;4867774;5423189;6008607;6624011;7269401;7944796;8650186;9385568;10150970;10946351;11771715;12627062;13512409;14427765;15373118;16348470;17353811;18388888;19453911;20548943;21673932;22828959;24013974;25228847
SelectionSort reversed values 0-5;14900;59800;134800;239700;374700;539600;734664;959995;1215351;1500695;1816051;2161395;2536752;2942127;3377583;3843024;4338483;4863924;5419383;6004412;6618270;7263579;7939428;8645279;9381128;10146978;10942078;11766182;12621972;13507913;14423872;15369813;16345583;17349825;18382786;19448887;20545234;21671587;22827934;24014148;25228047
SelectionSort values 0-4000;15500;61202;136946;242750;378536;544384;740207;966075;1221956;1507825;1823733;2169632;2545528;2951430;3387358;3853290;4349181;4875136;5431113;6017050;6633009;7278952;7954882;8660845;9396796;10162787;10958711;11784675;12640616;13526614;14442525;15388531;16364489;17370486;18406431;19472478;20568531;21694479;22850511;24036463;25252454
SelectionSort sorted values 0-4000;14900;59800;134800;239700;374700;539600;734600;959500;1214500;1499400;1814400;2159300;2534300;2939200;3374200;3839100;4334100;4859000;5414000;5998900;6613900;7258800;7933800;8638700;9373700;10138600;10933600;11758500;12613500;13498400;14413400;15358300;16333300;17338200;18373200;19438100;20533100;21658000;22813000;23997900;25212900
SelectionSort almost sorted values 0-4000;15409;61028;136684;242379;378091;543799;739547;965283;1221011;1506783;1822544;2168330;2544086;2949819;3385541;3851284;4347049;4872891;5428614;6014339;6630033;7275752;7951475;8657225;9392858;10158558;10954254;11779922;12635528;13521027;14436638;15382125;16357524;17362931;18398225;19463379;20558421;21683141;22837404;24020451;25217766
SelectionSort reversed values 0-4000;16612;66489;149500;265628;414814;597116;812557;1061140;1342910;1657826;2005813;2386950;2801198;3248614;3729196;4242914;4789765;5369692;5982678;6628890;7308218;8020669;8766300;9545062;10356941;11201923;12079959;12991099;13935346;14912785;15923308;16966901;18043613;19153453;20296481;21472643;22681954;23924411;25199891;26508459;27850153
ShellSortCiura values 0-5;2906;6735;10900;15319;19882;24696;29275;34052;39052;44126;49132;54206;59564;64845;69877;74992;80188;85437;90757;96277;101751;107212;112742;118401;123911;129431;135026;140799;146420;152114;157987;163746;169493;175343;181334;186826;192388;198026;203685;209299;215025
ShellSortCiura sorted values 0-5;2000;4800;7800;11300;14800;18300;21800;25800;29800;33800;37800;41800;45800;49800;53800;57800;61800;66000;70500;75000;79500;84000;88500;93000;97500;102000;106500;111000;115500;120000;124500;129000;133500;138000;142500;147000;151500;156000;160500;165000;169500
